,Month,Year,MaxTemp
0,1,2009,28.62903226
1,1,2010,27.50967742
2,1,2011,26.5
3,1,2012,27.39032258
4,1,2013,27.29677419
5,1,2014,28.56774194
6,2,2009,28.09642857
7,2,2010,28.17142857
8,2,2011,25.26785714
9,2,2012,26.95517241
10,2,2013,null
11,2,2014,28.35714286
12,3,2009,24.3483871
13,3,2010,26.2
14,3,2011,23.47419355
15,3,2012,23.6516129
16,3,2013,27.56451613
17,3,2014,25.41935484
18,4,2009,21.00333333
19,4,2010,22.89333333
20,4,2011,null
21,4,2012,21.93
22,4,2013,21.26333333
23,4,2014,21.14
24,5,2009,17.91290323
25,5,2010,18.21935484
26,5,2011,16.31612903
27,5,2012,16.95806452
28,5,2013,18.06774194
29,5,2014,19.28064516
30,6,2009,15.55333333
31,6,2010,14.64666667
32,6,2011,15.80333333
33,6,2012,14.43666667
34,6,2013,15.42666667
35,6,2014,15.75666667
36,7,2009,15.16774194
37,7,2010,14.60967742
38,7,2011,14.58709677
39,7,2012,14.9
40,7,2013,15.87419355
41,7,2014,14.66774194
42,8,2009,16.87419355
43,8,2010,14.69354839
44,8,2011,17.37096774
45,8,2012,15.24193548
46,8,2013,16.51935484
47,8,2014,16.24193548
48,9,2009,18.57333333
49,9,2010,16.53333333
50,9,2011,19.4
51,9,2012,18.56333333
52,9,2013,20.06333333
53,9,2014,19.33333333
54,10,2009,19.93225806
55,10,2010,20.6516129
56,10,2011,20.81612903
57,10,2012,20.75483871
58,10,2013,19.83870968
59,10,2014,22.64516129
60,11,2009,27.13333333
61,11,2010,23.19333333
62,11,2011,24.48666667
63,11,2012,23.30333333
64,11,2013,22.02
65,11,2014,23.94
66,12,2009,25.94516129
67,12,2010,24.78387097
68,12,2011,25.10967742
69,12,2012,null
70,12,2013,24.69677419
71,12,2014,25.0483871
